timestamp,product,best_bid,best_ask,mid,spread,micro_price,best_bid_vol,best_ask_vol,best_bid_own,best_ask_own,total_bid_vol,total_ask_vol,total_own_bid_vol,total_own_ask_vol,bid_levels,ask_levels,imbalance,top_imbalance,weighted_mid,tick_size
1772293837.051677,TIDE_SWING,243.0,244.0,243.5,1.0,243.98717948717947,154.0,2.0,0.0,0.0,166.0,96.0,0.0,0.0,7,15,0.26717557251908397,0.9743589743589743,246.84763815992588,1
1772293838.449661,TIDE_SWING,243.0,244.0,243.5,1.0,243.98717948717947,154.0,2.0,0.0,0.0,168.0,93.0,0.0,0.0,8,15,0.28735632183908044,0.9743589743589743,246.84763815992588,1
1772293839.6506686,TIDE_SWING,243.0,244.0,243.5,1.0,243.98717948717947,154.0,2.0,0.0,0.0,170.0,95.0,0.0,0.0,9,15,0.2830188679245283,0.9743589743589743,246.84763815992588,1
1772293840.8523886,TIDE_SWING,243.0,246.0,244.5,3.0,245.94267515923568,154.0,3.0,0.0,0.0,168.0,93.0,0.0,0.0,8,14,0.28735632183908044,0.9617834394904459,252.2678699205363,1
1772293841.0553937,TIDE_SWING,243.0,245.0,244.0,2.0,244.97435897435898,154.0,2.0,0.0,0.0,168.0,95.0,0.0,0.0,8,15,0.27756653992395436,0.9743589743589743,247.16477987421385,1
1772293842.2760103,TIDE_SWING,243.0,245.0,244.0,2.0,244.9493670886076,154.0,4.0,0.0,0.0,172.0,99.0,0.0,0.0,8,15,0.2693726937269373,0.9493670886075949,246.55660810761145,1
1772293843.8796294,TIDE_SWING,243.0,245.0,244.0,2.0,244.94594594594594,144.0,4.0,0.0,0.0,162.0,99.0,0.0,0.0,8,15,0.2413793103448276,0.9459459459459459,246.54332750218668,1
1772293845.2586226,TIDE_SWING,240.0,245.0,242.5,5.0,242.5,4.0,4.0,0.0,0.0,18.0,53.0,0.0,0.0,7,14,-0.49295774647887325,0.0,240.41666666666666,1
1772293845.858317,TIDE_SWING,240.0,245.0,242.5,5.0,241.66666666666666,2.0,4.0,0.0,0.0,16.0,53.0,0.0,0.0,7,14,-0.5362318840579711,-0.3333333333333333,238.6875,1
1772293846.6598566,TIDE_SWING,229.0,245.0,237.0,16.0,235.85714285714286,3.0,4.0,0.0,0.0,14.0,53.0,0.0,0.0,6,14,-0.582089552238806,-0.14285714285714285,235.60714285714286,1
1772293846.8604045,TIDE_SWING,231.0,244.0,237.5,13.0,240.36,144.0,56.0,0.0,0.0,158.0,105.0,0.0,0.0,7,14,0.20152091254752852,0.44,240.45999999999998,1
1772293848.0821302,TIDE_SWING,233.0,238.0,235.5,5.0,235.5,4.0,4.0,0.0,0.0,162.0,109.0,0.0,0.0,8,15,0.19557195571955718,0.0,239.97519429880018,1
1772293849.2939065,TIDE_SWING,233.0,238.0,235.5,5.0,235.5,4.0,4.0,0.0,0.0,162.0,111.0,0.0,0.0,8,15,0.18681318681318682,0.0,239.97519429880018,1
1772293849.467633,TIDE_SWING,233.0,238.0,235.5,5.0,235.5,4.0,4.0,0.0,0.0,164.0,111.0,0.0,0.0,9,15,0.19272727272727272,0.0,239.97519429880018,1
1772293851.6865618,TIDE_SWING,233.0,238.0,235.5,5.0,235.5,4.0,4.0,0.0,0.0,20.0,55.0,0.0,0.0,8,14,-0.4666666666666667,0.0,237.2277777777778,1
1772293852.0740242,TIDE_SWING,233.0,238.0,235.5,5.0,236.33333333333334,4.0,2.0,0.0,0.0,20.0,53.0,0.0,0.0,8,14,-0.4520547945205479,0.3333333333333333,239.2625,1
1772293853.1308827,TIDE_SWING,229.0,246.0,237.5,17.0,237.5,3.0,3.0,0.0,0.0,16.0,51.0,0.0,0.0,7,13,-0.5223880597014925,0.0,236.28696741854637,1
1772293853.5397449,TIDE_SWING,231.0,238.0,234.5,7.0,237.9041095890411,144.0,2.0,0.0,0.0,160.0,109.0,0.0,0.0,8,15,0.1895910780669145,0.9726027397260274,240.78393753399112,1
1772293853.693748,TIDE_SWING,233.0,238.0,235.5,5.0,235.5,2.0,2.0,0.0,0.0,162.0,109.0,0.0,0.0,9,15,0.19557195571955718,0.0,240.80148740759367,1
1772293854.7230308,TIDE_SWING,233.0,238.0,235.5,5.0,235.5,4.0,4.0,0.0,0.0,164.0,111.0,0.0,0.0,9,15,0.19272727272727272,0.0,240.6024009446984,1
1772293855.876663,TIDE_SWING,233.0,238.0,235.5,5.0,235.5,4.0,4.0,0.0,0.0,164.0,114.0,0.0,0.0,9,16,0.17985611510791366,0.0,240.6024009446984,1
1772293856.2780254,TIDE_SWING,233.0,238.0,235.5,5.0,235.5,4.0,4.0,0.0,0.0,166.0,111.0,0.0,0.0,10,15,0.19855595667870035,0.0,240.6024009446984,1
1772293857.4795003,TIDE_SWING,233.0,238.0,235.5,5.0,235.5,4.0,4.0,0.0,0.0,166.0,113.0,0.0,0.0,10,15,0.18996415770609318,0.0,240.6024009446984,1
1772293858.7066047,TIDE_SWING,233.0,238.0,235.5,5.0,235.5,4.0,4.0,0.0,0.0,22.0,57.0,0.0,0.0,9,14,-0.4430379746835443,0.0,237.2277777777778,1
1772293860.123885,TIDE_SWING,229.0,246.0,237.5,17.0,237.5,3.0,3.0,0.0,0.0,20.0,55.0,0.0,0.0,9,13,-0.4666666666666667,0.0,237.34166666666664,1
1772293861.4847472,TIDE_SWING,234.0,239.0,236.5,5.0,236.5,2.0,2.0,0.0,0.0,24.0,57.0,0.0,0.0,11,14,-0.4074074074074074,0.0,238.981684981685,1
1772293861.685767,TIDE_SWING,234.0,238.0,236.0,4.0,236.0,2.0,2.0,0.0,0.0,164.0,113.0,0.0,0.0,10,15,0.18411552346570398,0.0,240.6726957726958,1
1772293863.1022332,TIDE_SWING,234.0,238.0,236.0,4.0,236.0,2.0,2.0,0.0,0.0,166.0,113.0,0.0,0.0,11,15,0.18996415770609318,0.0,240.6726957726958,1
1772293863.2854543,TIDE_SWING,234.0,238.0,236.0,4.0,236.0,2.0,2.0,0.0,0.0,166.0,115.0,0.0,0.0,11,16,0.18149466192170818,0.0,240.6726957726958,1
1772293864.690134,TIDE_SWING,234.0,238.0,236.0,4.0,236.0,2.0,2.0,0.0,0.0,170.0,117.0,0.0,0.0,12,17,0.18466898954703834,0.0,240.6726957726958,1
1772293866.3176684,TIDE_SWING,231.0,245.0,238.0,14.0,241.08,144.0,56.0,0.0,0.0,166.0,113.0,0.0,0.0,10,15,0.18996415770609318,0.44,241.15848229063224,1
